actions_last_hour,actions_last_day,failed_actions_count,avg_action_interval_minutes,sensitive_actions_count,delete_operations_count,update_operations_count,create_operations_count,view_operations_count,unique_entity_types,consecutive_failures,privilege_level_changes,data_access_volume,ip_diversity_score,device_changes,hour_of_day,is_weekend,recent_actions,entity_types_accessed,is_suspicious,entity_diversity_score,unusual_time_score,action_velocity,risk_score_trend,anomaly_score
84,427,20,0.5617549218276207,12,4,12,2,32,7,8,0,110,6.047827297163785,4,4,0,BULK_READ|DOWNLOAD_LOGS|BACKUP_DATA|UPDATE_VEHICLE|UPDATE_PERMISSIONS|UPDATE_PERMISSIONS|COPY_DATA|UPDATE_BOOKING|SYSTEM_CONFIG|EXPORT_DATA,REFUND|BOOKING|USER|DOCUMENT|INCIDENT|PERMISSION|LOG,1,7.0,7,1.4,3.8,3.2143481891491357
20,62,7,2.8399606806152042,11,8,1,0,11,3,2,0,94,2.314845966840438,1,12,0,DELETE_USER|VIEW_DASHBOARD|BULK_DELETE|UPDATE_ROLE|DELETE_BOOKING|GENERATE_REPORT|DELETE_BOOKING|MODIFY_SECURITY|DELETE_BOOKING|APPROVE_REFUND,DOCUMENT|USER|BOOKING,1,3.0,0,0.3333333333333333,2.35,0.6944537900521314
2,23,0,13.533729278918194,0,0,1,0,1,1,0,0,24,0.23861356754711416,0,17,0,VIEW_ANALYTICS|VIEW_DASHBOARD,INCIDENT,0,1.0,0,0.03333333333333333,0.0,0.07158407026413424
19,39,9,3.956423082804199,11,3,6,3,7,2,7,6,65,3.9399656123582414,3,2,0,BULK_DELETE|CREATE_VEHICLE|REVOKE_ACCESS|UPDATE_PERMISSIONS|VIEW_BOOKING|APPROVE_REFUND|APPROVE_REFUND|CREDENTIAL_CHANGE|UPDATE_BOOKING|MODIFY_SECURITY,ROLE|USER,1,2.0,3,0.31666666666666665,2.55,1.7819896837074725
8,24,1,18.29865775260731,2,1,4,1,2,1,1,0,25,0.9943275333632646,0,12,0,VIEW_BOOKING|CREATE_VEHICLE|GENERATE_REPORT|UPDATE_VEHICLE|GENERATE_REPORT|APPROVE_REFUND|UPDATE_USER|APPROVE_REFUND,INCIDENT,0,1.0,0,0.13333333333333333,0.4,0.29829826000897935
5,18,0,13.6217749856505,2,0,2,0,3,2,0,0,29,0.3466677992652403,0,8,0,VIEW_ANALYTICS|CREATE_VEHICLE|CREATE_VEHICLE|CREATE_BOOKING|VIEW_ANALYTICS,INCIDENT|USER,0,2.0,0,0.08333333333333333,0.3,0.10400033977957208
3,22,0,17.979107618272693,1,0,1,0,2,3,0,0,16,0.23825916418778503,0,12,0,VIEW_USER|GENERATE_REPORT|UPDATE_LISTING,VEHICLE|ROLE|BOOKING,0,3.0,0,0.05,0.15,0.0714777492563355
3,25,0,10.614264786127706,1,0,1,1,1,1,0,0,28,0.012374059381329072,0,16,0,APPROVE_REFUND|UPDATE_USER|VIEW_USER,VEHICLE,0,1.0,0,0.05,0.15,0.0037122178143987215
3,24,0,16.633750960593588,0,1,2,0,0,3,0,0,18,0.5853912015049352,0,11,0,UPDATE_LISTING|UPDATE_BOOKING|UPDATE_LISTING,VEHICLE|PAYMENT|DOCUMENT,0,3.0,0,0.05,0.0,0.17561736045148055
3,16,0,15.439345306911383,2,0,2,0,1,1,0,0,27,0.5159611193837246,0,10,0,VIEW_BOOKING|VIEW_ANALYTICS|CREATE_VEHICLE,INCIDENT,0,1.0,0,0.05,0.3,0.15478833581511736
3,26,0,10.524899345802345,1,0,0,1,2,2,0,0,25,0.12428616120408831,0,16,0,CREATE_BOOKING|VIEW_ANALYTICS|CREATE_VEHICLE,ROLE|BOOKING,0,2.0,0,0.05,0.15,0.03728584836122649
5,23,0,12.809985288091852,1,1,0,0,4,2,0,0,24,0.9730532670338429,0,15,0,VIEW_BOOKING|VIEW_DASHBOARD|UPDATE_VEHICLE|UPDATE_USER|VIEW_ANALYTICS,USER|PERMISSION,0,2.0,0,0.08333333333333333,0.15,0.29191598011015285
0,30,0,20.765214911291892,0,0,0,0,0,3,0,0,17,0.9309443293740982,0,16,1,,ROLE|DOCUMENT|ROLE,0,2.0,2,0.0,0.0,0.6792832988122295
17,106,9,1.4898828112651343,2,0,0,0,17,7,3,1,231,3.1517422071681316,0,9,0,VIEW_BOOKING|CREATE_BOOKING|VIEW_DASHBOARD|CREATE_VEHICLE|VIEW_ANALYTICS|VIEW_DASHBOARD|VIEW_ALL_USERS|VIEW_USER|UPDATE_USER|UPDATE_BOOKING,INCIDENT|BOOKING|PAYMENT|LOG|PERMISSION|REFUND|VEHICLE,1,7.0,0,0.2833333333333333,1.2,0.9455226621504395
24,61,6,2.59317320153891,7,10,3,0,11,4,5,1,113,2.839819581073135,0,15,0,DELETE_BOOKING|UPDATE_USER|DELETE_BOOKING|BULK_DELETE|DELETE_LOG|DELETE_USER|DELETE_VEHICLE|DELETE_VEHICLE|BULK_DELETE|MODIFY_SECURITY,INCIDENT|LOG|DOCUMENT|PERMISSION,1,4.0,0,0.4,1.6500000000000001,0.8519458743219405
45,255,16,0.43293926399040583,17,7,6,2,30,5,10,1,146,6.6152674827347395,5,17,0,APPROVE_REFUND|UPDATE_PERMISSIONS|VIEW_BOOKING|EXPORT_USERS|UPDATE_USER|GENERATE_REPORT|DELETE_USER|CHANGE_PASSWORD|UPDATE_ROLE|REVOKE_ACCESS,ROLE|PERMISSION|DOCUMENT|BOOKING|USER,1,5.0,4,0.75,4.15,2.7845802448204218
4,23,1,11.449081302183952,1,0,2,0,2,3,1,0,18,0.5260143538831438,0,17,0,UPDATE_VEHICLE|UPDATE_LISTING|UPDATE_BOOKING|CREATE_VEHICLE,INCIDENT|PAYMENT|PAYMENT,0,2.0,0,0.06666666666666667,0.25,0.15780430616494312
6,34,1,5.2874173302485445,2,0,1,1,4,1,1,0,23,0.8270466126374643,0,13,0,UPDATE_USER|VIEW_DASHBOARD|VIEW_USER|UPDATE_VEHICLE|APPROVE_REFUND|VIEW_BOOKING,VEHICLE,0,1.0,0,0.1,0.4,0.24811398379123928
3,25,0,15.59023548790395,0,0,1,2,0,3,0,0,20,0.19271830406217194,0,13,0,VIEW_DASHBOARD|UPDATE_VEHICLE|UPDATE_LISTING,LOG|LOG|REFUND,0,2.0,0,0.05,0.0,0.05781549121865158
0,15,0,13.221569642298489,0,0,0,0,0,2,0,0,17,0.5318687135244075,0,11,0,,USER|REFUND,0,2.0,0,0.0,0.0,0.15956061405732222
2,24,0,18.359980770910052,1,0,1,1,0,3,0,0,27,0.7856629331443694,0,15,0,UPDATE_BOOKING|GENERATE_REPORT,INCIDENT|PAYMENT|PERMISSION,0,3.0,0,0.03333333333333333,0.15,0.23569887994331082
7,31,0,11.991021293702122,3,1,3,1,2,1,0,0,26,0.5245350022268235,0,16,0,VIEW_BOOKING|UPDATE_VEHICLE|VIEW_DASHBOARD|VIEW_USER|UPDATE_LISTING|GENERATE_REPORT|GENERATE_REPORT,PERMISSION,0,1.0,0,0.11666666666666667,0.44999999999999996,0.15736050066804705
5,25,0,9.133992736843501,3,0,1,2,2,2,0,0,15,0.2351337255462398,0,10,0,CREATE_VEHICLE|VIEW_BOOKING|GENERATE_REPORT|VIEW_DASHBOARD|VIEW_ANALYTICS,DOCUMENT|PAYMENT,0,2.0,0,0.08333333333333333,0.44999999999999996,0.07054011766387193
3,29,0,14.720626194214763,1,0,0,0,3,1,0,0,20,0.6057941868547957,0,9,0,VIEW_USER|GENERATE_REPORT|VIEW_ANALYTICS,ROLE,0,1.0,0,0.05,0.15,0.1817382560564387
26,36,2,4.302684717307258,12,6,1,0,19,5,4,1,114,1.6882468096669943,1,13,0,APPROVE_REFUND|VIEW_USER|DELETE_VEHICLE|DELETE_USER|DELETE_LOG|DELETE_LOG|DELETE_USER|UPDATE_ROLE|DELETE_BOOKING|APPROVE_REFUND,VEHICLE|PERMISSION|USER|BOOKING|REFUND,1,5.0,0,0.43333333333333335,1.9999999999999998,0.5064740429000982
6,24,1,10.175417633728904,2,0,4,1,1,2,1,0,21,0.6542151515193606,1,8,0,APPROVE_REFUND|UPDATE_LISTING|VIEW_DASHBOARD|UPDATE_USER|VIEW_BOOKING|UPDATE_USER,LOG|LOG,0,1.0,0,0.1,0.4,0.19626454545580818
3,24,0,16.657883361558355,0,0,0,0,3,3,0,0,14,0.8315807043476138,0,15,0,UPDATE_VEHICLE|UPDATE_BOOKING|UPDATE_LISTING,BOOKING|INCIDENT|BOOKING,0,2.0,0,0.05,0.0,0.24947421130428413
5,21,1,17.847327549703298,0,1,2,1,1,2,1,0,19,0.7093364176658157,0,17,0,UPDATE_BOOKING|VIEW_ANALYTICS|UPDATE_LISTING|UPDATE_USER|UPDATE_BOOKING,DOCUMENT|ROLE,0,2.0,0,0.08333333333333333,0.1,0.2128009252997447
7,26,0,14.248723906990929,2,1,1,1,4,3,0,0,23,0.6139427146502957,0,10,0,VIEW_USER|UPDATE_LISTING|VIEW_ANALYTICS|UPDATE_BOOKING|CREATE_BOOKING|CREATE_VEHICLE|UPDATE_BOOKING,REFUND|USER|REFUND,0,2.0,0,0.11666666666666667,0.3,0.1841828143950887
31,114,7,1.5161139067978417,2,0,0,0,31,7,2,0,110,2.680220050172811,0,2,1,VIEW_USER|UPDATE_BOOKING|VIEW_DASHBOARD|VIEW_USER|VIEW_ANALYTICS|UPDATE_USER|VIEW_USER|APPROVE_REFUND|APPROVE_REFUND|VIEW_ANALYTICS,PERMISSION|REFUND|INCIDENT|LOG|PAYMENT|ROLE|DOCUMENT,1,7.0,5,0.5166666666666667,1.0,1.8040660150518433
7,28,0,13.775083323413835,2,0,3,0,4,2,0,0,22,0.07523271714674895,0,10,0,VIEW_DASHBOARD|VIEW_BOOKING|GENERATE_REPORT|CREATE_BOOKING|VIEW_DASHBOARD|UPDATE_USER|GENERATE_REPORT,ROLE|LOG,0,2.0,0,0.11666666666666667,0.3,0.022569815144024685
4,31,0,20.257633438115665,1,0,1,0,3,3,0,0,19,0.2503393900108859,0,17,0,CREATE_VEHICLE|UPDATE_VEHICLE|UPDATE_VEHICLE|UPDATE_USER,BOOKING|PAYMENT|REFUND,0,3.0,0,0.06666666666666667,0.15,0.07510181700326576
26,37,2,3.1300813530590808,13,11,1,0,14,3,5,0,108,1.7683900039275093,1,16,1,GENERATE_REPORT|SYSTEM_CONFIG|DELETE_BOOKING|CREDENTIAL_CHANGE|BULK_DELETE|UPDATE_BOOKING|DELETE_LOG|DELETE_USER|UPDATE_VEHICLE|DELETE_VEHICLE,DOCUMENT|INCIDENT|PERMISSION,1,3.0,2,0.43333333333333335,2.15,0.9305170011782528
4,23,0,9.599714386218581,1,0,0,0,4,2,0,0,14,0.2373577025835537,0,16,0,UPDATE_LISTING|VIEW_DASHBOARD|CREATE_VEHICLE|VIEW_ANALYTICS,INCIDENT|PAYMENT,0,2.0,0,0.06666666666666667,0.15,0.0712073107750661
4,29,0,10.114874907689114,1,1,1,1,1,1,0,0,30,0.30113642697335063,0,15,0,UPDATE_LISTING|VIEW_USER|UPDATE_USER|VIEW_USER,REFUND,0,1.0,0,0.06666666666666667,0.15,0.09034092809200518
27,184,3,1.32591977262721,10,0,0,0,27,5,1,0,212,5.574540526142183,1,1,0,BULK_READ|COPY_DATA|COPY_DATA|BACKUP_DATA|EXPORT_VEHICLES|CREATE_BOOKING|COPY_DATA|BULK_READ|UPDATE_LISTING|CREATE_VEHICLE,PERMISSION|LOG|DOCUMENT|PAYMENT|VEHICLE,1,5.0,3,0.45,1.8,2.2723621578426547
4,16,0,10.682267197696367,1,0,1,0,3,3,0,0,12,0.11126619721148912,0,8,0,VIEW_ANALYTICS|APPROVE_REFUND|VIEW_BOOKING|CREATE_BOOKING,ROLE|PERMISSION|BOOKING,0,3.0,0,0.06666666666666667,0.15,0.03337985916344673
11,76,13,4.237958740249448,6,3,6,4,0,4,8,6,70,3.4803135548901,3,21,1,VIEW_ANALYTICS|EXPORT_DATA|DELETE_USER|APPROVE_REFUND|EXPORT_DATA|UPDATE_ROLE|UPDATE_USER|BULK_DELETE|GENERATE_REPORT|GENERATE_REPORT,PERMISSION|ROLE|INCIDENT|USER,1,4.0,2,0.18333333333333332,2.2,1.4440940664670299
4,34,0,23.04476059189765,1,0,1,1,2,1,0,0,24,0.635736970368201,0,16,0,APPROVE_REFUND|CREATE_VEHICLE|UPDATE_USER|APPROVE_REFUND,LOG,0,1.0,0,0.06666666666666667,0.15,0.1907210911104603
6,36,0,12.611384047164073,0,1,1,1,3,3,0,0,21,0.1370052460805623,0,8,0,UPDATE_BOOKING|UPDATE_LISTING|APPROVE_REFUND|VIEW_DASHBOARD|VIEW_ANALYTICS|VIEW_ANALYTICS,PERMISSION|REFUND|PERMISSION,0,2.0,0,0.1,0.0,0.04110157382416869
5,30,0,16.94296829795671,0,0,1,1,3,2,0,0,25,0.2528260100716089,0,15,0,UPDATE_VEHICLE|VIEW_DASHBOARD|APPROVE_REFUND|VIEW_DASHBOARD|UPDATE_LISTING,USER|LOG,0,2.0,0,0.08333333333333333,0.0,0.07584780302148265
10,21,1,16.53396044882494,1,3,2,1,4,2,1,0,18,0.39683424686214785,0,14,1,GENERATE_REPORT|APPROVE_REFUND|CREATE_BOOKING|UPDATE_VEHICLE|APPROVE_REFUND|UPDATE_LISTING|CREATE_VEHICLE|APPROVE_REFUND|VIEW_ANALYTICS|CREATE_VEHICLE,ROLE|DOCUMENT,0,2.0,2,0.16666666666666666,0.25,0.5190502740586443
5,24,0,17.531436741936695,0,0,2,0,3,1,0,0,19,0.06652573038471776,0,12,1,UPDATE_BOOKING|APPROVE_REFUND|APPROVE_REFUND|GENERATE_REPORT|VIEW_ANALYTICS,PAYMENT,0,1.0,2,0.08333333333333333,0.0,0.41995771911541535
4,24,0,10.224536459056482,1,0,0,2,2,2,0,0,16,0.7994432607631259,0,11,0,UPDATE_VEHICLE|GENERATE_REPORT|VIEW_USER|GENERATE_REPORT,REFUND|USER,0,2.0,0,0.06666666666666667,0.15,0.23983297822893776
5,30,0,19.948944367819298,0,0,2,0,3,1,0,0,35,0.2896215938306016,0,13,0,VIEW_USER|CREATE_BOOKING|UPDATE_LISTING|VIEW_BOOKING|UPDATE_LISTING,VEHICLE,0,1.0,0,0.08333333333333333,0.0,0.08688647814918048
35,298,4,1.9747907489961307,13,0,2,0,33,4,2,0,116,4.60165444568437,3,4,0,DOWNLOAD_LOGS|BACKUP_DATA|VIEW_USER|VIEW_BOOKING|VIEW_ALL_USERS|EXPORT_USERS|UPDATE_BOOKING|GENERATE_REPORT|BACKUP_DATA|UPDATE_USER,DOCUMENT|BOOKING|PERMISSION|REFUND,1,4.0,3,0.5833333333333334,2.35,1.9804963337053112
3,33,0,15.704570180411787,0,0,0,0,3,1,0,0,15,0.22725747339184088,0,14,0,UPDATE_LISTING|VIEW_USER|UPDATE_LISTING,PERMISSION,0,1.0,0,0.05,0.0,0.06817724201755226
2,31,0,11.57745978117693,0,0,1,0,1,1,0,0,14,0.00041443697450649353,1,15,0,VIEW_BOOKING|VIEW_DASHBOARD,PAYMENT,0,1.0,0,0.03333333333333333,0.0,0.00012433109235194804
2,19,0,11.966409025460287,0,1,0,0,1,2,0,0,26,0.17948154853520937,0,8,0,CREATE_VEHICLE|GENERATE_REPORT,BOOKING|INCIDENT,0,2.0,0,0.03333333333333333,0.0,0.053844464560562806
3,17,0,12.279229789630199,1,0,2,1,0,1,0,0,20,0.012198090607318246,0,12,0,VIEW_ANALYTICS|UPDATE_VEHICLE|UPDATE_BOOKING,USER,0,1.0,0,0.05,0.15,0.003659427182195474
3,27,0,14.549404055607722,1,1,1,1,0,3,0,0,24,0.32167417995264314,0,10,0,UPDATE_VEHICLE|VIEW_ANALYTICS|UPDATE_LISTING,VEHICLE|REFUND|ROLE,0,3.0,0,0.05,0.15,0.09650225398579294
5,24,2,15.921010286206979,1,0,1,0,4,2,2,0,38,0.4945623240542556,0,9,0,CREATE_VEHICLE|UPDATE_VEHICLE|VIEW_ANALYTICS|UPDATE_USER|CREATE_VEHICLE,BOOKING|LOG,0,2.0,0,0.08333333333333333,0.35,0.14836869721627668
3,26,0,22.45639900352065,0,0,1,0,2,2,0,0,23,0.929189247103082,0,14,0,UPDATE_USER|UPDATE_BOOKING|UPDATE_USER,BOOKING|DOCUMENT,0,2.0,0,0.05,0.0,0.2787567741309246
23,71,10,5.120672259467017,13,1,6,1,15,3,4,5,76,4.020119023658918,3,22,0,MODIFY_SECURITY|VIEW_USER|UPDATE_BOOKING|CHANGE_PASSWORD|MODIFY_SECURITY|UPDATE_PERMISSIONS|VIEW_BOOKING|CHANGE_PASSWORD|MODIFY_SECURITY|VIEW_ANALYTICS,USER|LOG|ROLE,1,3.0,0,0.38333333333333336,2.95,1.2060357070976753
3,24,0,15.390706660916782,1,0,1,0,2,3,0,0,13,0.1199642306671771,0,16,1,APPROVE_REFUND|UPDATE_USER|CREATE_VEHICLE,DOCUMENT|LOG|INCIDENT,0,3.0,2,0.05,0.15,0.43598926920015313
3,35,0,14.774365263235632,1,0,1,1,1,3,0,0,16,0.9679774556559881,0,9,0,VIEW_USER|UPDATE_LISTING|VIEW_BOOKING,DOCUMENT|REFUND|PERMISSION,0,3.0,0,0.05,0.15,0.29039323669679645
4,24,1,19.127643378039462,0,0,0,0,4,1,1,0,21,0.5947214233848956,0,16,0,VIEW_USER|CREATE_VEHICLE|UPDATE_LISTING|UPDATE_USER,INCIDENT,0,1.0,0,0.06666666666666667,0.1,0.1784164270154687
2,22,0,5.640631866901275,1,0,2,0,0,2,0,0,18,0.3577274419392328,0,14,0,VIEW_BOOKING|VIEW_BOOKING,LOG|LOG,0,1.0,0,0.03333333333333333,0.15,0.10731823258176983
0,37,0,20.82427118681846,0,0,0,0,0,1,0,0,15,0.5312930976467788,0,8,0,,DOCUMENT,0,1.0,0,0.0,0.0,0.15938792929403364
2,21,0,18.137853393453213,0,0,0,0,2,1,0,0,22,0.6894716041701678,1,15,0,VIEW_BOOKING|VIEW_BOOKING,VEHICLE,0,1.0,0,0.03333333333333333,0.0,0.20684148125105034
4,22,0,11.308885691968417,0,0,1,1,2,3,0,0,14,0.21268450165972064,0,12,0,APPROVE_REFUND|VIEW_DASHBOARD|VIEW_DASHBOARD|GENERATE_REPORT,VEHICLE|REFUND|DOCUMENT,0,3.0,0,0.06666666666666667,0.0,0.06380535049791619
3,23,0,16.586219154614724,0,0,0,1,2,3,0,0,17,0.9390420745917728,0,15,0,APPROVE_REFUND|VIEW_USER|VIEW_BOOKING,INCIDENT|VEHICLE|ROLE,0,3.0,0,0.05,0.0,0.2817126223775318
2,22,1,13.556617022371963,0,0,0,0,2,3,1,0,22,0.5495968539078108,0,16,0,VIEW_BOOKING|GENERATE_REPORT,LOG|PERMISSION|BOOKING,0,3.0,0,0.03333333333333333,0.1,0.16487905617234322
4,27,0,11.577314374715403,0,0,1,0,3,3,0,0,26,0.43517058545743714,0,8,0,APPROVE_REFUND|APPROVE_REFUND|VIEW_ANALYTICS|UPDATE_BOOKING,PERMISSION|DOCUMENT|PERMISSION,0,2.0,0,0.06666666666666667,0.0,0.13055117563723115
3,27,0,19.412622659804548,0,0,1,0,2,1,0,0,22,0.16426472708239293,0,9,0,CREATE_BOOKING|UPDATE_VEHICLE|VIEW_DASHBOARD,ROLE,0,1.0,0,0.05,0.0,0.04927941812471787
6,25,0,14.081064197312992,2,0,3,3,0,2,0,0,16,0.7188307939164464,0,10,0,CREATE_BOOKING|UPDATE_USER|VIEW_BOOKING|CREATE_BOOKING|UPDATE_VEHICLE|GENERATE_REPORT,PAYMENT|VEHICLE,0,2.0,0,0.1,0.3,0.21564923817493392
2,25,0,20.169637599322055,0,0,1,0,1,2,0,0,24,0.9695514699108798,0,17,0,VIEW_USER|VIEW_USER,VEHICLE|USER,0,2.0,0,0.03333333333333333,0.0,0.29086544097326394
4,20,0,14.135989215338217,1,0,1,0,3,2,0,0,29,0.662320736124016,0,15,0,VIEW_ANALYTICS|VIEW_BOOKING|UPDATE_LISTING|APPROVE_REFUND,LOG|BOOKING,0,2.0,0,0.06666666666666667,0.15,0.19869622083720478
3,27,0,15.559565226128507,1,1,1,0,1,3,0,0,22,0.23498261315724223,0,15,1,GENERATE_REPORT|GENERATE_REPORT|UPDATE_USER,ROLE|INCIDENT|PERMISSION,0,3.0,2,0.05,0.15,0.4704947839471727
3,25,0,26.379938357722068,1,1,1,0,1,3,0,0,16,0.14658121134926916,0,10,0,VIEW_DASHBOARD|UPDATE_VEHICLE|GENERATE_REPORT,ROLE|VEHICLE|DOCUMENT,0,3.0,0,0.05,0.15,0.043974363404780746
8,31,1,13.019711803660462,2,0,3,1,4,1,1,0,24,0.5374838970424262,1,15,0,APPROVE_REFUND|VIEW_DASHBOARD|UPDATE_BOOKING|VIEW_ANALYTICS|VIEW_BOOKING|VIEW_BOOKING|UPDATE_USER|UPDATE_VEHICLE,PERMISSION,0,1.0,0,0.13333333333333333,0.4,0.16124516911272785
3,20,0,5.0,2,0,1,0,2,1,0,0,17,0.6305793436582271,0,17,0,VIEW_USER|APPROVE_REFUND|VIEW_ANALYTICS,REFUND,0,1.0,0,0.05,0.3,0.18917380309746812
16,147,8,1.6010244776268152,7,0,0,0,16,7,3,1,231,1.7545278313795272,2,21,0,GENERATE_REPORT|VIEW_USER|CREATE_BOOKING|UPDATE_BOOKING|VIEW_DASHBOARD|UPDATE_VEHICLE|VIEW_BOOKING|UPDATE_USER|CREATE_VEHICLE|UPDATE_USER,USER|REFUND|PERMISSION|DOCUMENT|PAYMENT|INCIDENT|VEHICLE,1,7.0,0,0.26666666666666666,1.85,0.5263583494138582
2,27,0,19.78148258446265,0,0,0,0,2,3,0,0,25,0.0986643777685231,0,8,0,CREATE_BOOKING|VIEW_BOOKING,VEHICLE|LOG|PERMISSION,0,3.0,0,0.03333333333333333,0.0,0.02959931333055693
4,26,0,20.045824577344984,2,0,2,1,1,3,0,0,22,0.3971889921198495,0,10,0,VIEW_USER|UPDATE_BOOKING|UPDATE_LISTING|CREATE_VEHICLE,PERMISSION|USER|PERMISSION,0,2.0,0,0.06666666666666667,0.3,0.11915669763595484
5,26,1,20.170496316250354,0,1,2,0,2,1,1,0,20,0.40799393500056935,1,9,0,VIEW_USER|UPDATE_LISTING|CREATE_BOOKING|GENERATE_REPORT|APPROVE_REFUND,LOG,0,1.0,0,0.08333333333333333,0.1,0.1223981805001708
0,17,0,11.300238500427016,0,0,0,0,0,1,0,0,20,0.6645552757528927,0,17,0,,VEHICLE,0,1.0,0,0.0,0.0,0.19936658272586782
4,21,0,12.893184543013371,0,0,3,2,0,1,0,0,23,0.9362963832676874,0,12,0,UPDATE_VEHICLE|VIEW_ANALYTICS|APPROVE_REFUND|VIEW_ANALYTICS,VEHICLE,0,1.0,0,0.06666666666666667,0.0,0.2808889149803062
1,24,0,18.499666266228054,0,0,1,0,0,3,0,0,15,0.6368474676836076,0,11,0,UPDATE_VEHICLE,VEHICLE|PAYMENT|REFUND,0,3.0,0,0.016666666666666666,0.0,0.19105424030508225
